time,TracKPosX,TracKPosY,TracKPosZ,Speed,GazeOrigin,eyeHitSite,eyeHitType,
2024-05-08 15:29:20:012,341019.031,434789.062,59.289,0.000,x=341039.219_y=434817.844_z=86.342,x=340373.375_y=434064.375_z=96.047,3
2024-05-08 15:29:20:041,341017.781,434787.750,59.272,0.000,x=341038.062_y=434816.656_z=86.351,x=340354.438_y=434042.938_z=96.047,3
2024-05-08 15:29:20:068,341017.125,434787.031,59.263,0.000,x=341036.844_y=434815.344_z=86.348,x=340345.562_y=434035.219_z=96.047,3
2024-05-08 15:29:20:096,341015.656,434785.438,59.242,0.000,x=341036.188_y=434814.656_z=86.348,x=340325.812_y=434011.438_z=96.047,3
2024-05-08 15:29:20:124,341014.125,434783.781,59.221,0.000,x=341034.719_y=434813.062_z=86.338,x=340308.750_y=433992.375_z=96.047,3
2024-05-08 15:29:20:151,341012.688,434782.250,59.201,0.000,x=341033.188_y=434811.406_z=86.325,x=340313.844_y=433989.094_z=96.047,3
2024-05-08 15:29:20:179,341011.938,434781.438,59.191,0.000,x=341031.750_y=434809.875_z=86.305,x=340310.656_y=433985.031_z=96.047,3
2024-05-08 15:29:20:208,341010.406,434779.812,59.170,0.000,x=341031.000_y=434809.094_z=86.299,x=340320.219_y=433994.094_z=96.047,3
2024-05-08 15:29:20:237,341008.812,434778.094,59.147,0.000,x=341029.469_y=434807.438_z=86.265,x=340321.938_y=433999.812_z=96.047,3
2024-05-08 15:29:20:263,341007.094,434776.250,59.124,0.000,x=341027.875_y=434805.750_z=86.239,x=340322.156_y=433997.656_z=96.047,3
2024-05-08 15:29:20:291,341005.406,434774.469,59.100,0.000,x=341026.156_y=434803.906_z=86.210,x=340321.406_y=433998.344_z=96.047,3
2024-05-08 15:29:20:320,341003.656,434772.594,59.076,0.000,x=341024.438_y=434802.094_z=86.184,x=340309.656_y=433985.469_z=96.047,3
2024-05-08 15:29:20:348,341002.719,434771.594,59.063,0.000,x=341022.688_y=434800.250_z=86.153,x=340320.969_y=434000.125_z=96.047,3
2024-05-08 15:29:20:376,341000.812,434769.531,59.036,0.000,x=341021.750_y=434799.250_z=86.133,x=340326.375_y=434008.031_z=96.047,3
2024-05-08 15:29:20:403,340998.844,434767.469,59.009,0.000,x=341019.844_y=434797.156_z=86.086,x=340351.312_y=434037.438_z=96.047,3
