time,Obj1,Obj2,Obj3,
2024-05-08 15:29:30:320,AheadCar_0_0 x=334176.9375 y=427144.34375 z=133.231995,SidewaysCar_0_0 x=335652.40625 y=429925.0 z=95.376999,
2024-05-08 15:29:30:345,AheadCar_0_0 x=334149.9375 y=427111.96875 z=133.673004,SidewaysCar_0_0 x=335644.78125 y=429914.9375 z=95.339996,
2024-05-08 15:29:30:370,AheadCar_0_0 x=334149.9375 y=427111.96875 z=133.673004,SidewaysCar_0_0 x=335644.78125 y=429914.9375 z=95.339996,
2024-05-08 15:29:30:395,AheadCar_0_0 x=334124.28125 y=427081.125 z=134.093002,SidewaysCar_0_0 x=335637.21875 y=429905.0625 z=95.467003,
2024-05-08 15:29:30:420,AheadCar_0_0 x=334099.5 y=427051.3125 z=134.498001,SidewaysCar_0_0 x=335629.53125 y=429895.0 z=95.596001,
2024-05-08 15:29:30:445,AheadCar_0_0 x=334074.5 y=427021.375 z=134.906006,SidewaysCar_0_0 x=335621.59375 y=429884.5625 z=95.730003,
2024-05-08 15:29:30:470,AheadCar_0_0 x=334049.40625 y=426991.25 z=135.315002,SidewaysCar_0_0 x=335613.375 y=429873.8125 z=95.867996,
2024-05-08 15:29:30:495,AheadCar_0_0 x=334023.375 y=426960.0625 z=135.740005,SidewaysCar_0_0 x=335604.625 y=429862.375 z=96.014999,
2024-05-08 15:29:30:520,AheadCar_0_0 x=334000.0625 y=426932.15625 z=135.957001,SidewaysCar_0_0 x=335596.59375 y=429851.8125 z=96.150002,
2024-05-08 15:29:30:545,AheadCar_0_0 x=333974.71875 y=426901.78125 z=136.162003,SidewaysCar_0_0 x=335587.625 y=429840.03125 z=96.302002,
2024-05-08 15:29:30:570,AheadCar_0_0 x=333949.375 y=426871.53125 z=136.365997,SidewaysCar_0_0 x=335578.46875 y=429828.03125 z=96.456001,
2024-05-08 15:29:30:595,AheadCar_0_0 x=333924.53125 y=426841.78125 z=136.565994,SidewaysCar_0_0 x=335569.21875 y=429815.90625 z=96.611,
2024-05-08 15:29:30:620,AheadCar_0_0 x=333899.6875 y=426812.09375 z=136.766006,SidewaysCar_0_0 x=335559.78125 y=429803.53125 z=96.769997,
2024-05-08 15:29:30:645,AheadCar_0_0 x=333873.8125 y=426781.25 z=136.973999,SidewaysCar_0_0 x=335549.40625 y=429789.875 z=96.874001,
2024-05-08 15:29:30:670,AheadCar_0_0 x=333848.71875 y=426751.28125 z=137.175003,SidewaysCar_0_0 x=335539.09375 y=429776.375 z=97.087997,
2024-05-08 15:29:30:695,AheadCar_0_0 x=333823.4375 y=426721.125 z=137.393997,SidewaysCar_0_0 x=335528.53125 y=429762.5 z=97.004997,
2024-05-08 15:29:30:720,AheadCar_0_0 x=333800.0 y=426693.25 z=137.580994,SidewaysCar_0_0 x=335518.625 y=429749.4375 z=96.927002,
2024-05-08 15:29:30:745,AheadCar_0_0 x=333773.125 y=426661.25 z=137.796997,SidewaysCar_0_0 x=335506.9375 y=429734.15625 z=96.834999,
2024-05-08 15:29:30:770,AheadCar_0_0 x=333748.34375 y=426631.84375 z=137.839996,SidewaysCar_0_0 x=335496.0625 y=429719.8125 z=96.749001,
2024-05-08 15:29:30:795,AheadCar_0_0 x=333723.6875 y=426602.5 z=137.835007,SidewaysCar_0_0 x=335485.03125 y=429705.3125 z=96.874001,
2024-05-08 15:29:30:820,AheadCar_0_0 x=333695.78125 y=426569.375 z=137.830002,SidewaysCar_0_0 x=335472.28125 y=429688.5625 z=97.188004,
2024-05-08 15:29:30:845,AheadCar_0_0 x=333668.53125 y=426537.09375 z=137.824997,SidewaysCar_0_0 x=335459.6875 y=429671.96875 z=97.5,
2024-05-08 15:29:30:870,AheadCar_0_0 x=333645.46875 y=426509.71875 z=137.820999,SidewaysCar_0_0 x=335448.59375 y=429657.40625 z=97.774002,
2024-05-08 15:29:30:895,AheadCar_0_0 x=333645.46875 y=426509.71875 z=137.820999,SidewaysCar_0_0 x=335448.59375 y=429657.40625 z=97.774002,
2024-05-08 15:29:30:920,AheadCar_0_0 x=333619.6875 y=426479.15625 z=137.815002,SidewaysCar_0_0 x=335435.84375 y=429640.625 z=98.088997,
2024-05-08 15:29:30:945,AheadCar_0_0 x=333594.8125 y=426449.75 z=137.809998,SidewaysCar_0_0 x=335423.3125 y=429624.15625 z=98.398003,
2024-05-08 15:29:30:970,AheadCar_0_0 x=333568.0 y=426418.03125 z=137.804993,SidewaysCar_0_0 x=335409.59375 y=429606.09375 z=98.737999,
2024-05-08 15:29:30:995,AheadCar_0_0 x=333541.5 y=426386.6875 z=137.798996,SidewaysCar_0_0 x=335395.84375 y=429587.96875 z=99.078003,
2024-05-08 15:29:31:020,AheadCar_0_0 x=333515.4375 y=426355.875 z=137.792999,SidewaysCar_0_0 x=335382.0625 y=429569.8125 z=99.418999,
2024-05-08 15:29:31:045,AheadCar_0_0 x=333492.71875 y=426329.03125 z=137.787994,SidewaysCar_0_0 x=335369.90625 y=429553.78125 z=99.719002,
2024-05-08 15:29:31:070,AheadCar_0_0 x=333466.8125 y=426298.46875 z=137.781998,SidewaysCar_0_0 x=335355.84375 y=429535.25 z=100.160004,
2024-05-08 15:29:31:095,AheadCar_0_0 x=333441.25 y=426268.28125 z=137.776001,SidewaysCar_0_0 x=335341.71875 y=429516.71875 z=100.619003,
2024-05-08 15:29:31:120,AheadCar_0_0 x=333416.125 y=426238.65625 z=137.770004,SidewaysCar_0_0 x=335327.71875 y=429498.1875 z=101.077003,
2024-05-08 15:29:31:145,AheadCar_0_0 x=333391.09375 y=426209.1875 z=137.764008,SidewaysCar_0_0 x=335313.25 y=429479.09375 z=101.547997,
2024-05-08 15:29:31:170,AheadCar_0_0 x=333363.28125 y=426176.375 z=137.757996,SidewaysCar_0_0 x=335296.8125 y=429457.4375 z=102.083,
2024-05-08 15:29:31:195,AheadCar_0_0 x=333339.53125 y=426148.375 z=137.751999,SidewaysCar_0_0 x=335282.5625 y=429438.65625 z=102.547997,
2024-05-08 15:29:31:220,AheadCar_0_0 x=333313.71875 y=426118.03125 z=137.744995,SidewaysCar_0_0 x=335266.90625 y=429418.03125 z=103.056999,
2024-05-08 15:29:31:245,AheadCar_0_0 x=333289.3125 y=426089.28125 z=137.738998,SidewaysCar_0_0 x=335251.875 y=429398.1875 z=103.546997,
2024-05-08 15:29:31:270,AheadCar_0_0 x=333264.0625 y=426059.59375 z=137.733002,SidewaysCar_0_0 x=335236.15625 y=429377.40625 z=104.059998,
