time,Obj1,Obj2,Obj3,
2024-05-08 15:29:16:009,
2024-05-08 15:29:16:033,
2024-05-08 15:29:16:058,
2024-05-08 15:29:16:083,
2024-05-08 15:29:16:111,
2024-05-08 15:29:17:985,id=386496144C781D77536130A25FC15593_0 x=331829.819665 y=423475.459976 z=233.472841,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331717.952783 y=423324.403387 z=230.677674,
2024-05-08 15:29:18:010,id=386496144C781D77536130A25FC15593_0 x=331829.29694 y=423475.834899 z=233.489117,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331717.458264 y=423324.814557 z=230.695161,
2024-05-08 15:29:18:035,id=386496144C781D77536130A25FC15593_0 x=331828.774903 y=423476.209328 z=233.505373,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331716.964395 y=423325.225185 z=230.712642,
2024-05-08 15:29:18:063,id=386496144C781D77536130A25FC15593_0 x=331828.221712 y=423476.606103 z=233.522597,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331716.441052 y=423325.66032 z=230.731146,
2024-05-08 15:29:18:090,id=386496144C781D77536130A25FC15593_0 x=331827.66637 y=423477.004421 z=233.539887,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331715.915678 y=423326.097144 z=230.749733,
2024-05-08 15:29:18:115,id=386496144C781D77536130A25FC15593_0 x=331827.15359 y=423477.372212 z=233.555853,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331715.430561 y=423326.500496 z=230.766888,
2024-05-08 15:29:18:141,id=386496144C781D77536130A25FC15593_0 x=331826.630047 y=423477.747722 z=233.572153,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331714.935263 y=423326.912313 z=230.78441,
2024-05-08 15:29:18:166,id=386496144C781D77536130A25FC15593_0 x=331826.130897 y=423478.105736 z=233.587699,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331714.463046 y=423327.304939 z=230.801106,
2024-05-08 15:29:18:191,id=386496144C781D77536130A25FC15593_0 x=331825.608418 y=423478.480483 z=233.603964,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331713.968756 y=423327.715918 z=230.818587,
2024-05-08 15:29:18:218,id=386496144C781D77536130A25FC15593_0 x=331825.068907 y=423478.867446 z=233.620759,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331713.458358 y=423328.140289 z=230.836643,
2024-05-08 15:29:18:246,id=386496144C781D77536130A25FC15593_0 x=331824.508908 y=423479.269104 z=233.638193,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331712.928571 y=423328.580782 z=230.855371,
2024-05-08 15:29:18:271,id=386496144C781D77536130A25FC15593_0 x=331823.996039 y=423479.636958 z=233.654164,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331712.443378 y=423328.984198 z=230.872539,
2024-05-08 15:29:18:295,id=386496144C781D77536130A25FC15593_0 x=331823.494099 y=423479.996973 z=233.66979,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331711.968518 y=423329.379021 z=230.889336,
2024-05-08 15:29:18:322,id=386496144C781D77536130A25FC15593_0 x=331822.966207 y=423480.375603 z=233.686231,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331711.469112 y=423329.794253 z=230.907002,
2024-05-08 15:29:18:344,id=386496144C781D77536130A25FC15593_0 x=331822.48594 y=423480.720073 z=233.701187,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331711.014761 y=423330.172026 z=230.923071,
2024-05-08 15:29:18:370,id=386496144C781D77536130A25FC15593_0 x=331821.956821 y=423481.099583 z=233.717663,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331710.514183 y=423330.588233 z=230.94077,
2024-05-08 15:29:18:396,id=386496144C781D77536130A25FC15593_0 x=331821.434369 y=423481.47431 z=233.733928,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331710.019926 y=423330.999184 z=230.95825,
2024-05-08 15:29:18:426,id=386496144C781D77536130A25FC15593_0 x=331820.834488 y=423481.904573 z=233.752607,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331709.452414 y=423331.471043 z=230.978325,
2024-05-08 15:29:18:452,id=386496144C781D77536130A25FC15593_0 x=331820.317783 y=423482.275179 z=233.768692,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331708.96359 y=423331.877477 z=230.995611,
2024-05-08 15:29:18:478,id=386496144C781D77536130A25FC15593_0 x=331819.780326 y=423482.660669 z=233.785433,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331708.455126 y=423332.300241 z=231.013599,
2024-05-08 15:29:18:503,id=386496144C781D77536130A25FC15593_0 x=331819.27971 y=423483.019735 z=233.801019,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331707.981524 y=423332.694019 z=231.030348,
2024-05-08 15:29:18:530,id=386496144C781D77536130A25FC15593_0 x=331818.724675 y=423483.417832 z=233.818298,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331707.456437 y=423333.130604 z=231.048915,
2024-05-08 15:29:18:555,id=386496144C781D77536130A25FC15593_0 x=331818.216934 y=423483.782008 z=233.834103,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331706.976095 y=423333.529986 z=231.065906,
2024-05-08 15:29:18:579,id=386496144C781D77536130A25FC15593_0 x=331817.734266 y=423484.128201 z=233.849135,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331706.519466 y=423333.909651 z=231.082066,
2024-05-08 15:29:18:605,id=386496144C781D77536130A25FC15593_0 x=331817.212906 y=423484.502145 z=233.865371,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331706.026237 y=423334.319748 z=231.099504,
2024-05-08 15:29:18:630,id=386496144C781D77536130A25FC15593_0 x=331816.67538 y=423484.887684 z=233.8821,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331705.517712 y=423334.742562 z=231.117494,
2024-05-08 15:29:18:654,id=386496144C781D77536130A25FC15593_0 x=331816.193598 y=423485.233241 z=233.897107,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331705.061925 y=423335.121528 z=231.133617,
2024-05-08 15:29:18:681,id=386496144C781D77536130A25FC15593_0 x=331815.654482 y=423485.619921 z=233.913892,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331704.551898 y=423335.545591 z=231.151651,
2024-05-08 15:29:18:706,id=386496144C781D77536130A25FC15593_0 x=331815.140405 y=423485.988642 z=233.929897,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331704.065559 y=423335.949959 z=231.168853,
2024-05-08 15:29:18:731,id=386496144C781D77536130A25FC15593_0 x=331814.644121 y=423486.3446 z=233.945348,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331703.596049 y=423336.340335 z=231.185459,
